ID_juge;Product;Hedonic_category;FreeJAR_description;Liking;Too_much;Not_enough;JAR
33100;CE;I like it a lot;You can taste the milk, the butter. On the other hand, it may be a little too fatty in the end.;9;1;0;0
33100;C;I like it a bit;The cheese is good, just a little too salty for my taste.;6;1;0;0
33100;M;I like it a lot;Good with its truffle aftertaste.;9;0;0;0
33100;CR;I like it a bit;A little too salty for me.;5;1;0;0
33100;R;I like it a bit;A little strong in taste;5;1;0;0
33100;S;I like it a lot;Smooth and not too strong to the taste. Perfect alternative for those like me who like soft but not too strong cheeses.;9;0;0;1
33100;E;I like it a bit;Without more, classic Emmental. Neutral taste, so it's okay.;8;0;0;0
33101;E;I don't like it;I don't like it because it's too strong.;1;1;0;0
33101;S;I like it a bit;I like it a bit because it has a good soft texture but is a little bland.;5;1;0;1
33101;R;I like it a lot;I really like it because of its creamy texture, powerful aftertaste, pronounced taste but not too strong.;8;0;0;1
33101;CR;I like it a bit;I like a bit because taste neither too bland nor too pronounced, but nothing special.;4;0;0;0
33101;M;I don't like it;I don't like it because it's too strong.;1;1;0;0
33101;C;I don't like it;I don't like it because it's too strong.;2;1;0;0
33101;CE;I don't like it;I don't like it because it's too bland.;3;1;0;0
33101;B;I don't like it;I don't like it because it's too strong.;1;1;0;0
33106;CR;I like it a lot;I really like this product which has an excellent taste that is both melting and not too firm.;9;0;0;1
33106;C;I like it a lot;I like the pronounced taste of this one;8;0;0;0
33106;S;I don't like it;I don't like this cheese because it's much too bland.;2;1;0;0
33106;B;I like it a lot;I really like this product because I think it's from the comté, it's both firm and tasty.;8;0;0;0
33106;E;I don't like it;I find this one very dry and tasteless too;2;0;0;0
33106;CE;I like it a bit;I like this product a little bit because the taste is rather tasty even if it could have been more pronounced.;6;0;1;0
33106;R;I don't like it;Even if this one is melting, I find it tasteless.;2;0;0;0
33106;M;I like it a bit;I like the texture and the taste is much less bland than the previous ones.;6;0;0;0
33107;S;I like it a lot;Interesting, original in taste. Soft and pleasant texture.;7;0;0;0
33107;CR;I like it a bit;Pleasant texture, crispy consistency. Bitterness of old cheese not pleasant. Pronounced taste but well dosed, neither too strong nor too soft.;4;0;0;0
33107;E;I like it a lot;Classic Gruyere, simple. Usual taste.;8;0;0;0
33107;C;I like it a lot;Pleasant texture neither too hard nor too soft. Correct taste. Banal;6;0;0;0
33107;R;I like it a bit;Soft. A little strong in taste. Creamy;6;0;0;0
33107;B;I like it a lot;Taste. Good texture. Fruity in the mouth. Pleasant;8;0;0;1
33107;M;I like it a lot;Good. Very soft. Certain taste in the mouth;8;0;0;0
33107;CE;I like it a bit;No interest. Medium Taste;4;0;0;0
33108;CR;I like it a lot;I really like it I find the common taste of a cheese.;5;0;0;0
33108;C;I like it a bit;Good but too salty;3;1;0;0
33108;S;I like it a bit;Not intense enough in taste, it tastes like butter.;6;0;1;0
33108;B;I like it a lot;All right, it looks like summer Beaufort.;8;0;0;0
33108;E;I don't like it;It's tasteless and has the firmness of a piece of plastic.;2;0;1;0
33108;CE;I like it a lot;I really like it because it's firm and drier.;8;0;0;0
33108;R;I like it a lot;It's strong in taste.;7;0;0;0
33108;M;I like it a bit;I like it a bit because it tastes good even if it's a little too soft.;4;1;0;0
33115;R;I like it a bit;Pasty, sticks to his teeth, but he has good taste.;5;0;0;0
33115;E;I like it a lot;I like the taste light but present, the texture is young and maybe a little soft.;7;0;0;0
33115;M;I like it a bit;I kind of like it to be soft and sticky. The marbling makes it weird to the eye;6;0;0;0
33115;S;I don't like it;I don't like it, it's too soft, it lacks taste, it doesn't smell anything.;3;1;1;0
33115;CE;I like it a bit;Soft, little taste, indifferent texture neither soft nor hard.;4;0;0;0
33115;CR;I like it a bit;I like it a little, the texture is a little young but there is taste.;6;0;0;0
33115;B;I like it a lot;I like the texture a bit hard but the taste is not the best;7;0;0;0
33115;C;I like it a bit;I like it a little bit crumbly and the green mottling is a little bit dodgy. The aftertaste is nice;6;0;0;0
33116;S;I don't like it;I don't like this product because it's too creamy and too strong.;3;2;0;0
33116;CR;I like it a bit;I like this product a bit because it has a good taste, but the texture is not my favorite.;6;0;0;1
33116;E;I like it a bit;I like it a bit because even if it doesn't taste too good, it's still good.;6;0;0;0
33116;C;I don't like it;I don't like this product because I didn't like the smell and the taste was too strong.;2;1;0;0
33116;R;I like it a lot;I really like it because the texture is creamy and the taste is pleasant.;9;0;0;1
33116;B;I like it a lot;I really like it because it has very good taste.;9;0;0;1
33116;M;I like it a lot;I really like it because the texture is perfect and the taste is very tasty.;8;0;0;2
33116;CE;I like it a bit;I like it a bit because it has good taste but it's still bland.;5;0;0;1
33117;E;I like it a bit;I like this cheese a bit, but it's a little immature.;5;0;1;0
33117;S;I don't like it;I don't like this cheese that doesn't taste good enough.;2;0;1;0
33117;R;I like it a bit;I like this cheese a bit and it tastes a little bit.;6;0;0;0
33117;CR;I don't like it;I don't like this cheese that tastes like something I don't like.;3;0;0;0
33117;M;I like it a lot;I really like this cheese, which seems to have ripeness and a strong taste.;6.583248198;0;0;0
33117;C;I like it a bit;I like this cheese a bit that's too salty.;5;1;0;0
33117;CE;I don't like it;I don't like this cheese and the way it tastes.;2;0;0;0
33117;B;I like it a bit;I like this tasteless cheese a bit.;4;0;1;0
33118;CE;I like it a lot;I really like this product because it has a melting texture and pleasant in the mouth.;7;0;0;0
33118;M;I like it a bit;I like this product a little bit because it is a little too soft. Moreover, the taste that remains in the mouth is strong.;5;1;0;0
33118;B;I like it a lot;I really like this product for its delicacy. I like the taste, the texture is pleasant and the smell as well.;9;0;0;0
33118;R;I don't like it;I do not like this product because it does not taste good.;1;0;0;0
33118;C;I like it a bit;I like this product a little bit because its texture is pasty. However, it tastes good.;6;0;0;1
33118;E;I like it a lot;I really like this product because it is a must have cheese. It leaves an appropriate taste and not too strong or bitter.;9;0;0;0
33118;CR;I like it a lot;I like this product a lot despite the slightly strange texture. It can be eaten without any aftertaste.;8;0;0;0
33118;S;I like it a bit;I like this product a little bit because I find it too liquid, it loses texture in the mouth.;6;1;0;0
33128;E;I like it a bit;I like this product a bit because it has a reassuring taste that I've known for a long time.;5;0;0;0
33128;S;I don't like it;I don't like this product because on the one hand I don't find any taste in it, on the other hand I don't like its sticky texture. However, it could be suitable in a cooked dish rather than in tasting.;3;0;1;0
33128;R;I like it a bit;I like this product a bit because of its pronounced taste, which I can imagine it goes well with wine. However, I have a restriction about its sticky texture which is unpleasant to the touch and in the mouth.;6;0;0;0
33128;CR;I like it a lot;I really like this product because of its strong taste that stays in the mouth. Slightly crumbly texture that I really appreciate.;9;0;0;0
33128;M;I like it a lot;Excellent taste. I really like this cheese because for a soft cheese, its texture is pleasant in the mouth and to the touch, not too much elasticity.;8;0;0;1
33128;C;I like it a lot;I really like this cheese, it is well balanced in the mouth and would go well with bread. Just the right amount of salt;9;0;0;2
33128;CE;I like it a lot;I really like the taste of this cheese, although it wouldn't be a problem if it was more pronounced. I imagine it more as an aperitif because it is light. Good texture;7;0;0;1
33128;B;I like it a lot;I really like this cheese, which in my opinion has a full-bodied and original aftertaste. Very pleasant texture in the mouth.;9;0;0;1
33119;C;I like it a bit;I like this product a bit because even if it has a good texture and smell, it has a too strong aftertaste, a little floury.;5;1;0;1
33119;B;I like it a lot;I really like this product because it is just right in terms of taste, neither too strong nor too bland and has a good texture.;7;0;0;2
33119;CR;I like it a lot;I really like this product because it tastes a little salty and is pleasant to eat. Although I find that after eating a lot of it, it can be disgusting.;6;0;0;1
33119;CE;I like it a bit;I like this product a bit because even if it has a little too plastic texture, it has a pleasant taste.;4;1;0;1
33119;S;I like it a lot;I really like the texture of this cheese, it melts in the mouth and is pleasant to eat. Moreover, it has a tasty taste;8;0;0;1
33119;M;I like it a lot;I really like the texture of this cheese it is soft, has an attractive smell, does not leave a bad taste in the mouth while remaining very tasty.;8;0;0;0
33119;E;I like it a bit;I like this cheese a bit because even if it lacks taste, bland, it reminds me of my childhood, it has a good smell, looks like the EC;3;0;1;1
33119;R;I like it a bit;I like this cheese a bit because I like the texture but its taste is a little too strong, and bitter, its taste reminds me of a banana.;2;1;0;0
33120;B;I like it a lot;I really like this product because it is strong and tasty without being too much. The texture is delicate and the smell is attractive.;8;0;0;2
33120;CE;I like it a bit;I like this product a bit because even if it is not very strong in taste when you eat it, it remains tender and sweet.;5;0;0;0
33120;C;I like it a lot;I really like this product because it is very tasty like the B. However, the texture is a little harder which makes it less attractive.;7;0;0;0
33120;M;I like it a lot;I really like this product because it is neither too strong nor bland. The texture is delicate, the smell is attractive. The taste in the mouth is perfect. It is a very good harmony;9;0;0;2
33120;CR;I like it a bit;I like this product a bit because it is very tasty but it is not too tender in the mouth.;7;0;0;1
33120;R;I like it a bit;I like this cheese a bit because it's mild, not too strong without being annoying, but it's too soft. I also think it looks like too much like the S;6;2;0;0
33120;S;I like it a bit;I like this cheese a bit because it is mild, not very strong but is too soft and reminds me of the R;6;1;0;0
33120;E;I don't like it;I don't like this product because it is too bland, not pleasant in the mouth, the texture is not appealing;1;1;0;0
33124;M;I don't like it;I don't like this product because I really didn't like the taste and smell of it.;1;0;0;0
33124;R;I like it a lot;It is very beautiful, light with a very good taste.;9;0;0;1
33124;CE;I don't like it;I don't like this product because its taste disappointed me.;2;0;0;0
33124;E;I like it a bit;It is not melting enough;4;0;1;0
33124;B;I like it a lot;It is too good with an excellent texture;9;0;0;1
33124;S;I like it a lot;I really like this product because it has an excellent taste.;8;0;0;1
33124;C;I like it a lot;I really like this product because it has a very good taste.;7;0;0;1
33124;CR;I like it a bit;It is good because it has a good texture and is quite pleasant.;6;0;0;1
33125;R;I don't like it;Not good;4;0;0;0
33125;E;I like it a bit;Exponential lack of originality;6;0;1;0
33125;M;I don't like it;Not good medium liquid;4;0;0;0
33125;S;I like it a lot;Rather good RAS;7;0;0;0
33125;CE;I like it a lot;Very good RAS;8;0;0;0
33125;CR;I like it a bit;Slightly bland on the palate;6;0;0;0
33125;B;I like it a lot;Flavor explosion;8;0;0;0
33125;C;I like it a lot;Very well my favorite;8;0;0;0
33126;CR;I like it a bit;I like it a little because its texture bothers me, according to me it catches in my mouth.;6;0;0;0
33126;C;I like it a bit;I like it a little bit, what bothers me is the texture, otherwise the taste is good.;6;0;0;0
33126;S;I like it a lot;I like it very much because it is soft, the texture is pleasant, its taste and texture make it pleasant.;9;0;0;1
33126;B;I like it a lot;I like it very much because it is firm and full of taste.;7;0;0;0
33126;E;I like it a bit;I like it a little bit because it's a classic.;6;0;0;0
33126;CE;I don't like it;I don't like this cheese because it is too strong, a bitter taste is present and distorts the cheese.;5;1;0;0
33126;R;I like it a lot;I like it very much because this cheese manages to mix power and sweetness, a rather pleasant agreement.;8;0;0;0
33126;M;I like it a lot;I like it very much because the taste is not too strong and it stays in the mouth.;8;0;0;1
33127;B;I like it a lot;I really like this cheese because it's slightly flavoured.;8;0;0;0
33127;CE;I like it a bit;I like this cheese a bit because even if I don't like its aftertaste, I like its consistency.;7;0;0;0
33127;C;I like it a bit;I like this cheese a bit because even though I like dry cheese, this one is too salty.;6;1;0;0
33127;M;I like it a lot;I really like its texture and its taste which reveals itself little by little.;9;0;0;0
33127;CR;I like it a lot;I really like this cheese because it reminds me of the cheese I buy when I go to the mountains.;9;0;0;0
33127;R;I like it a lot;I really like this cheese because it's very smooth.;9;0;0;1
33127;S;I like it a lot;I really like this cheese because it's gourmand and mild at the same time.;9;0;0;0
33127;E;I like it a lot;I really like its fruity taste, like the S I would eat it for the sake of greed.;9;0;0;0
33129;S;I like it a bit;I like it a bit because it tastes right but a bit too soft.;6;1;0;1
33129;CR;I like it a bit;I like it a bit because it tastes nice but a little too salty.;5;1;0;1
33129;E;I don't like it;I don't like it, it tastes too pharmaceutical, plus it's got an ordinary texture.;2;1;0;0
33129;C;I like it a bit;I like it a bit because it has a good texture but it tastes a little bland.;6;0;0;1
33129;R;I like it a lot;I really like it because it has a pleasant taste in the mouth and a supple and melting texture.;8;0;0;1
33129;B;I don't like it;I don't like it, it's not tasty enough but the texture is right.;4;0;1;1
33129;M;I like it a bit;I like it a bit because it's tasty but the texture is a little too rubbery.;7;1;0;0
33129;CE;I don't like it;I don't like it's too synthetic with a dry texture.;3;1;0;0
33130;C;I like it a lot;I like it very much because it has a very fragrant taste.;9;0;0;0
33130;B;I like it a lot;I like it very much because it has a very floral taste and stronger than the others.;9;0;0;0
33130;CR;I like it a bit;I like this cheese a little bit because it has a sweet taste.;6;0;0;0
33130;CE;I like it a bit;I like a little bit this cheese because it has a floral taste.;8;0;0;0
33130;S;I like it a bit;I like this cheese a little bit because it has a strong taste and not too strong it doesn't sting the tongue. It makes me want to eat raclette;9;0;0;0
33130;M;I like it a lot;I like it very much because it has a smoky taste, it makes you want to go to summer.;9;0;0;0
33130;E;I like it a bit;I like a little bit this cheese but it's too neutral.;8;1;0;0
33130;R;I like it a lot;I like it very much because it is very smoky and it makes me want to eat raclette.;9;0;0;0
33131;R;I don't like it;Tastes a little bitter. Texture a little sticky;3;0;0;0
33131;E;I like it a bit;Fairly sweet taste. Pleasant texture;5;0;0;0
33131;M;I like it a lot;Fruity taste. Soft and pleasant texture;8;0;0;0
33131;S;I like it a bit;Taste with still a little too much bitterness. Soft and pleasant texture;5;1;0;0
33131;CE;I like it a bit;Taste fruity, soft. Pleasant and supple texture.;6;0;0;1
33131;CR;I like it a bit;Rather soft taste. Very pleasant texture;5;0;0;1
33131;B;I like it a bit;Fairly sweet taste. Pleasant texture;6;0;0;1
33131;C;I like it a bit;Taste with a little too much bitterness. Very pleasant and supple texture.;5;1;0;0
33132;B;I like it a bit;I like this cheese a bit because it's tasty but a little dry.;7;0;0;0
33132;CE;I like it a bit;Smooth but a little bland. On the other hand not too salty;8;0;0;0
33132;C;I like it a bit;I like this cheese a bit. Soft but a little bland and salty.;6;0;0;0
33132;M;I like it a lot;Creamy very good taste not too salty;9;0;0;1
33132;CR;I like it a bit;Too salty. A little floury;6;1;0;0
33132;R;I like it a lot;Smooth, not very pronounced taste. Not too salty;8;0;0;0
33132;S;I like it a lot;Creamy with taste without being too salty.;8;0;0;0
33132;E;I like it a bit;Smooth but a little bland. Not too salty;7;0;0;0
33133;C;I like it a lot;kind cantal firm paste very well;6;0;0;0
33133;B;I like it a bit;Pleasant but without much interest;3;0;0;0
33133;CR;I like it a lot;Cantal type but less pronounced in taste;4;0;0;0
33133;CE;I like it a bit;Pleasant comté feeling;3;0;0;0
33133;S;I don't like it;Pasty with no real taste or character;2.556271367;0;0;0
33133;M;I like it a bit;Small taste of camembert but worthless;3;0;0;0
33133;E;I don't like it;Like Gruyere cheese but without flavor;2.314575263;0;0;0
33133;R;I don't like it;Pasty with no real taste or character;5;0;0;0
33134;E;I like it a bit;I like this product a bit because it looks like traditional Emmental.;6;0;0;0
33134;S;I like it a lot;I like this product because the taste is good as well as the texture which is pleasant.;9;0;0;1
33134;R;I don't like it;I don't like this product because it is too soft and the taste of Roquefort too pronounced.;2;2;0;0
33134;CR;I like it a lot;I like this product because the taste is pronounced and authentic.;7;0;0;0
33134;M;I don't like it;I don't like this product because the taste is too strong and the texture is too soft.;1;2;0;0
33134;C;I like it a lot;I really like this product because the taste is pronounced but remains soft in the mouth. Perfect texture.;8;0;0;1
33134;CE;I like it a bit;I like it for its softness but it lacks grip and texture: a little bland.;4;0;1;0
33134;B;I like it a bit;I like this product for its taste: sweet and authentic. Texture not at its best.;5;0;0;0
33135;S;I like it a bit;I like this cheese a little bit because even if it's tasty the texture bothers me.;6;0;0;0
33135;CR;I like it a bit;I like it a little because the taste is light but it becomes pasty in the mouth.;5;0;0;0
33135;E;I don't like it;I don't like this cheese because it has almost no taste, it's bland.;2;0;0;0
33135;C;I like it a lot;I really like this cheese because it is very salty and has a strong taste.;8;0;0;0
33135;R;I like it a lot;I really like the bitter and pronounced taste of this cheese although the texture is soft.;9;0;0;0
33135;B;I like it a bit;I like the salty side of this cheese but it stings a little too much in the mouth.;6;1;0;0
33135;M;I like it a lot;I like the taste and the very pronounced aftertaste of this cheese even if it seems more like a cheese to melt.;9;0;0;0
33135;CE;I don't like it;I don't like this cheese because the taste seems industrial and tasteless despite a correct texture.;1;0;0;0
33136;CR;I like it a bit;I like this product a bit. It's too sweet.;5;1;0;0
33136;C;I like it a lot;I really like this product, it is strong in the mouth and aftertaste.;9;0;0;0
33136;S;I like it a bit;I like this product a bit, the texture is not what I prefer, a little soft.;4;0;0;0
33136;B;I like it a lot;I really like this product, it's very strong.;6.127390002;0;0;0
33136;E;I don't like it;I don't like this product, it tastes bland.;3;0;0;0
33136;CE;I don't like it;I don't like this product. I find the aftertaste unpleasant.;2;0;0;0
33136;R;I like it a lot;I really like this product, the texture is soft and the taste is very pronounced.;7.340385788;0;0;0
33136;M;I like it a bit;I like this product a bit, the taste is very strong but very good.;7.107701007;0;0;1
33139;C;I don't like it;I don't like this product because it has no taste.;1;0;0;0
33139;B;I don't like it;I don't like this product because it is acidic, unpleasant in the mouth.;1;0;0;0
33139;CR;I like it a bit;I like it a little because it is salty with a firm texture.;5;0;0;0
33139;CE;I like it a bit;I like it a little because it has a slightly salty texture and slightly salty;4;0;0;0
33139;S;I don't like it;I don't like this product because it has no taste. Soft;1;0;0;0
33139;M;I like it a lot;I like this product very much, it's reblochon.;7;0;0;0
33139;E;I like it a lot;I like this product very much, it's gruyère.;7;0;0;0
33139;R;I don't like it;I don't like this product because it has no taste and texture.;1;0;0;0
33142;CR;I like it a lot;I really like this salty taste in cheeses because it softens the cheese's strength.;9;0;0;0
33142;C;I like it a lot;I really like this salty taste in cheeses because it softens the cheese's strength and the fact that it is not MORE matured pleases me.;7;0;0;0
33142;S;I don't like it;I don't like it, it's too strong, the taste is too particular for me.;2;2;0;0
33142;B;I like it a lot;I like the comte very much because it is strong and soft at the same time and I like the note that comes at the end.;9;0;0;0
33142;E;I like it a lot;I really like Emmental and its sweetness, it's a subtle cheese.;9;0;0;0
33142;CE;I like it a bit;I like it a little but it's too bland. Besides, I don't like the taste it leaves in my mouth.;6;1;0;0
33142;R;I like it a bit;I like it a little bit, but the soft dough bothers me a little bit, the fact that it runs, and the cheeses like camembert taste too strong for me.;5;1;0;0
33142;M;I like it a lot;I like it very much even though soft cheeses are not my style, it's not too strong and it's this kind of Savoyard cheese that I like.;6;1;0;0
33143;B;I like it a bit;Cheese without interest leaves an acid taste on the tongue, not very salty and therefore not very tasty.;3;0;2;0
33143;CE;I like it a lot;Very good, a real taste of cheese, not very strong so as not to be nauseous.;8;0;0;0
33143;C;I like it a lot;Perfect. Slightly stronger than C, a more pronounced taste but is just as good to eat.;9;0;0;0
33143;M;I like it a bit;Special cheese. The type of cheese that stinks but still eats well. Soft cheese;5;0;0;0
33143;CR;I like it a lot;Quite acidulous cheese but not too much. Not bad taste but just about right;8;0;0;1
33143;R;I like it a lot;Cheese that is usually too bitter but this one is very good. Not too strong but very tasty;8;0;0;1
33143;S;I like it a bit;Good but quite special. Quite strong which does not make you want to take a lot but still good.;6;0;0;0
33143;E;I like it a bit;Very light in taste because not very strong. But salty enough for taste anyway. Not acid so good;7;0;0;1
33145;CE;I like it a bit;Less bland, more tasty;5;0;0;0
33145;M;I like it a bit;I like this product a little bit but I find it a little bland.;4;0;1;0
33145;B;I like it a bit;Less bland, more tasty;5;0;0;0
33145;R;I like it a bit;Same as M, although a little less bland.;5;0;0;0
33145;C;I like it a bit;Less bland, more tasty;5;0;0;0
33145;E;I like it a bit;Less bland, more tasty;5;0;0;0
33145;CR;I like it a bit;Less bland, more tasty;5;0;0;0
33145;S;I like it a bit;Less bland, more tasty;5;0;0;0
33147;M;I like it a lot;I really liked this cheese, it has a strong taste in the mouth and remains melting.;9;0;0;0
33147;R;I like it a bit;I like this cheese a little bit because it is simple to eat it melts in the mouth and is easy to put in apero.;6;0;0;0
33147;CE;I don't like it;I didn't like this cheese because its taste is like gruyere, one of the cheeses I don't particularly like.;4;0;0;0
33147;E;I like it a bit;I like this cheese a little bit because it looks like Comté and it has a good taste in the mouth.;5;0;0;0
33147;B;I like it a lot;I liked this cheese very much, it is melting and has a good taste.;8;0;0;0
33147;S;I don't like it;I didn't like this cheese because it lacks taste in my opinion although it melts in my mouth.;3;0;1;0
33147;C;I like it a lot;I liked this cheese, its taste is strong and its texture is good.;8;0;0;0
33147;CR;I like it a lot;I liked this cheese, it looks like C;8;0;0;0
33148;CE;I like it a bit;A little dry in the mouth;3;0;0;0
33148;M;I like it a lot;Dry but pleasant in the mouth;8;0;0;0
33148;B;I like it a lot;Dry cheese, with a very good taste;8;0;0;0
33148;R;I don't like it;Sticky in the mouth;4;0;0;0
33148;C;I like it a lot;You can feel the real taste of cheese;9;0;0;0
33148;E;I like it a lot;A very good cheese, with a very good taste.;9;0;0;0
33148;CR;I like it a lot;A good taste of cheese, very pleasant;9;0;0;0
33148;S;I like it a lot;Melts well in the mouth;3;0;0;0
33149;M;I like it a bit;NA;5;0;0;0
33149;R;I like it a bit;NA;7;0;0;0
33149;CE;I like it a lot;I really like this product because it is too good.;9;0;0;0
33149;E;I like it a lot;I really like this product but it lacks a little taste.;8;0;1;0
33149;B;I like it a lot;I really like this product because it is too good.;9;0;0;0
33149;S;I like it a bit;I really like this product but it is dry in the mouth.;7;0;0;0
33149;C;I like it a bit;I like this product very much but something is missing;7;0;0;0
33149;CR;I like it a bit;I really like this product but it is dry in the mouth.;7.250059047;0;0;0
33150;R;I like it a bit;I like this cheese a little bit because it melts a little in the mouth, even if I don't like the aftertaste it leaves.;6;0;0;0
33150;E;I like it a bit;I like this cheese a little bit because it has no particular taste, it is neutral neither bad nor good.;5;0;0;0
33150;M;I like it a lot;I really like this cheese because it smells good, it is just soft enough and at the same time hard enough and it tastes good.;8;0;0;3
33150;S;I like it a bit;I like this cheese a little bit because even if it doesn't have a lot of taste, it has a good texture.;6;0;0;1
33150;CE;I like it a bit;I like this cheese a little bit because it doesn't taste too strong even if it's a bit hard.;6;0;0;0
33150;CR;I like it a bit;I like this cheese a little bit because it has a good taste that stands out from the others, even if this taste gets weird at the end.;6;0;0;0
33150;B;I don't like it;I don't like this cheese because it leaves an aftertaste in my mouth.;3;0;0;0
33150;C;I like it a bit;I kind of like this cheese because it has a medium taste and texture. You can eat it even if nothing comes out of it.;4;0;0;0
33151;E;I like it a bit;A little hard but it does not stick to the teeth and the aftertaste is good.;6;0;0;1
33151;S;I like it a lot;Soft cheese, is not hard, not too strong and pleasant taste.;8;0;0;1
33151;R;I like it a lot;Soft cheese that does not stick to the teeth. Excellent taste and very pleasant to consume;9;0;0;1
33151;CR;I don't like it;It tastes quite strong, I don't like hard cheeses.;4;0;0;0
33151;M;I don't like it;At the beginning it is very pleasant when it melts in the mouth because it is a soft cheese. But the aftertaste is very strong.;4;1;0;1
33151;C;I don't like it;Cheese a bit hard and sticks to the teeth;3;0;0;0
33151;CE;I don't like it;Quite special taste, it was the first time I had this feeling in my mouth. It's new but not very pleasant... bland taste...;1;0;1;0
33151;B;I don't like it;It is very hard. The taste after chewing is not to my liking.;3;0;0;0
33152;R;I don't like it;I don't like this cheese because it's too soft. Plus, it leaves an unpleasant aftertaste in the mouth.;2;1;0;0
33152;E;I like it a bit;I like this cheese a bit because it has a pleasant texture, although a little bitter. On the contrary, the taste is not present enough.;5;0;1;0
33152;M;I don't like it;I don't like this cheese because it tastes too acidic and too pronounced, but the texture is good.;1;2;0;1
33152;S;I like it a lot;I really like the texture of this cheese. The taste is good because it is quite fine and light.;9;0;0;1
33152;CE;I like it a lot;I really like the texture of this cheese which is very consistent. Moreover, the taste is good, despite a slightly unpleasant aftertaste.;7;0;0;1
33152;CR;I like it a bit;I kind of like this cheese because it has a fruity taste, which is good. Plus, the texture is just right. But the aftertaste is too acidic;4;1;0;2
33152;B;I like it a lot;I really like the taste of this cheese which is very pronounced. Moreover, the texture is good, crumbly but consistent.;8;0;0;1
33152;C;I like it a lot;I really like the texture of this cheese which is consistent but melts in the mouth. Moreover, its taste is very pleasant.;8;0;0;1
33153;C;I like it a lot;Interesting I like very much;6;0;0;0
33153;B;I like it a lot;Very fine, I like very much;6;0;0;0
33153;CR;I like it a lot;Light I like very much;7;0;0;0
33153;CE;I like it a lot;Appreciable I like very much;6;0;0;0
33153;S;I like it a lot;My favorite I like very much;6;0;0;0
33153;M;I like it a lot;Lack of energy I like very much;6;0;1;0
33153;E;I like it a lot;Farmer's milk I like very much;7;0;0;0
33153;R;I like it a lot;The most artisanal. Background with character. I like very much;6;0;0;0
